UniProtID 1,UniProtID 2,DG (kJ/mol),pair
Q9BXB1,Q2MKA7,-41.66,"('Q2MKA7', 'Q9BXB1')"
P98170,P55211,-45.32,"('P55211', 'P98170')"
P50750,O60563,-37.49,"('O60563', 'P50750')"
Q16512,P63000,-38.91,"('P63000', 'Q16512')"
Q13489,Q12933,-33.16,"('Q12933', 'Q13489')"
Q9UK80,P0CG47,-30.9,"('P0CG47', 'Q9UK80')"
P04637,Q07817,-27.41,"('P04637', 'Q07817')"
O95727,Q9BY67,-28.18,"('O95727', 'Q9BY67')"
P12318,P02743,-34.48,"('P02743', 'P12318')"
Q68DC2,Q6ZW76,-37.95,"('Q68DC2', 'Q6ZW76')"
P05154,P00734,-26.55,"('P00734', 'P05154')"
Q16543,P07900,-31.02,"('P07900', 'Q16543')"
O75420,O60573,-54.01,"('O60573', 'O75420')"
Q9GZX6,Q9HB22,-51.73,"('Q9GZX6', 'Q9HB22')"
Q9Y376,Q9Y6E0,-43.69,"('Q9Y376', 'Q9Y6E0')"
P01857,P19474,-42.71,"('P01857', 'P19474')"
O96013,P60953,-22.89,"('O96013', 'P60953')"
Q9Y6N9,Q6PIF6,-33.16,"('Q6PIF6', 'Q9Y6N9')"
Q99988,Q6UXV0,-46.53,"('Q6UXV0', 'Q99988')"
Q96F86,P26196,-36.71,"('P26196', 'Q96F86')"
P13693,Q07817,-28.28,"('P13693', 'Q07817')"
Q13651,P22301,-51.73,"('P22301', 'Q13651')"
P01112,P20936,-27.41,"('P01112', 'P20936')"
Q13107,Q15020,-34.8,"('Q13107', 'Q15020')"
Q13155,Q15046,-40.49,"('Q13155', 'Q15046')"
O14936,O75334,-35.98,"('O14936', 'O75334')"
Q6ZVN8,P12643,-39.69,"('P12643', 'Q6ZVN8')"
P0CG48,Q14596,-30.84,"('P0CG48', 'Q14596')"
Q8N5H7,P56945,-43.24,"('P56945', 'Q8N5H7')"
P31997,P40199,-32.75,"('P31997', 'P40199')"
P08637,P0DOX5,-38.76,"('P08637', 'P0DOX5')"
Q96SB4,Q07955,-41.96,"('Q07955', 'Q96SB4')"
Q7Z3T8,Q9H3S7,-31.66,"('Q7Z3T8', 'Q9H3S7')"
P26358,J3QS39,-26.31,"('J3QS39', 'P26358')"
Q59FF6,P0CG47,-25.53,"('P0CG47', 'Q59FF6')"
P19878,Q15080,-48.27,"('P19878', 'Q15080')"
O15118,P61916,-36.6,"('O15118', 'P61916')"
P27540,Q16665,-38.63,"('P27540', 'Q16665')"
Q15109,P25815,-29.93,"('P25815', 'Q15109')"
